French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
mois,month
frère,brother
mettre,to put
aucun,no
parlé,speak
arrivé,come
bébé,baby
heures,hours
pendant,while
place,square
savais,knew
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
demandé,request
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
attendez,Wait
boulot,job
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
